Altium Designer Pick and Place Locations
F:\硬件\售货机外设\弹簧电机驱动板\弹簧货道电机驱动板 _外部晶振_兼容微米电机_格子柜\Project\Project Outputs for 电机驱动\Pick Place for 货道电机驱动板.csv

========================================================================================================================
File Design Information:

Date:       21/03/19
Time:       15:03
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment","Description"
"JP9","XH2.54-5P","44.6828","-83.8200","39.6028","-83.8200","39.6028","-83.8200","TopLayer","360","HDR-1X5","5P接插件"
"Q7","SOT23","48.1035","-73.4697","47.1535","-74.7267","47.1535","-74.7267","TopLayer","360","N-MOS","N沟道场效应管"
"D11","LC-SMA(DO-214AC)_S1","42.0370","-77.6242","42.0370","-77.6242","39.9370","-77.6242","TopLayer","180","SMAJ3.3A","TVS"
"F1","5.08mm","5.1411","-22.2250","7.6811","-22.2250","7.6811","-22.2250","TopLayer","180","30V 2A","贴片保险丝"
"TP5","TEST_1","3.9736","-71.0220","3.9736","-71.0220","3.9736","-71.0220","TopLayer","0","TEST","测试点"
"TP4","TEST_1","11.1876","-71.4803","11.1876","-71.4803","11.1876","-71.4803","TopLayer","0","TEST","测试点"
"TP3","TEST_1","33.5582","-64.8938","33.5582","-64.8938","33.5582","-64.8938","TopLayer","0","TEST","测试点"
"TP2","TEST_1","34.1040","-54.4838","34.1040","-54.4838","34.1040","-54.4838","TopLayer","0","TEST","测试点"
"U1","LC-LQFP-64_10x10x05P","59.5630","-60.7060","59.5630","-60.7060","55.8130","-66.2560","TopLayer","360","SWM181RCT6-50","微控制器, Cortex-M0系列, AA-00"
"TP1","TEST_1","44.5770","-64.6430","44.5770","-64.6430","44.5770","-64.6430","TopLayer","0","TEST","测试点"
"F2","FU_1206","93.1751","-82.7544","93.1751","-82.7544","94.8896","-82.7544","TopLayer","180","1206 100mA","贴片保险丝"
"F1","FU_1206","93.1751","-85.7250","93.1751","-85.7250","94.8896","-85.7250","TopLayer","180","1206 100mA","贴片保险丝"
"R19","R_0603","48.3837","-65.2534","48.3837","-65.2534","48.3837","-66.1805","TopLayer","90","4.7K","贴片电阻"
"JP10","XH2.54-4P","38.2222","-58.3106","38.2222","-62.1206","38.2222","-62.1206","TopLayer","90","HDR-1X4","4P接插件"
"U5","SOIC-8_150mil","54.7249","-74.1004","54.7249","-74.1004","52.1249","-72.1954","TopLayer","270","BL3085","RS-485/RS-422"
"D9","LC-SMA(DO-214AC)_S1","9.0057","-31.4890","9.0057","-31.4890","6.9057","-31.4890","TopLayer","180","SMBJ30CA","TVS"
"D2","LC-SMA(DO-214AC)_S1","4.6838","-26.6157","4.6838","-26.6157","6.7838","-26.6157","TopLayer","360","SMBJ30CA","TVS"
"D6","SMA(DO-214AC)_S1","99.9731","-81.6325","99.9731","-81.6325","102.0731","-81.6325","TopLayer","360","SMAJ6.5CA","TVS"
"R17","R_0603","42.4866","-74.6783","42.4866","-74.6783","41.5595","-74.6783","TopLayer","360","10k","贴片电阻"
"JP7","XH2.54-8P","78.4820","-83.7744","69.5920","-83.7744","69.5920","-83.7744","TopLayer","360","HDR-1X8","8P接插件"
"JP5","XH2.54-11P","125.3683","-64.2573","125.3683","-54.0973","125.3683","-76.9573","TopLayer","90","HDR-1X11","11P接插件"
"X1","XTAL-49S_SMD","82.8738","-61.6455","82.8738","-61.6455","87.6238","-61.6455","TopLayer","180","24MHz","2脚晶振"
