"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity"
"0R","贴片电阻","R25","R 0603","R","2","1"
"100nF\NC","贴片电容","C12,C11,C10,C9,C8","0603_C","0603 100nF (104) 10% 50V","2","5"
"104","无极性贴片电容","C3,C4,C2,C6,C1,C16,C13,C7","C 0603","C","2","8"
"10K","贴片电阻","R24,R14,R9,R21,R11_U_SIG_IN10,R11_U_SIG_IN9,R11_U_SIG_IN8,R11_U_SIG_IN7,R11_U_SIG_IN6,R11_U_SIG_IN5,R11_U_SIG_IN4,R11_U_SIG_IN3,R11_U_SIG_IN2,R11_U_SIG_IN1,R7_U_Drive_Y10,R7_U_Drive_Y9,R7_U_Drive_Y8,R7_U_Drive_Y7,R7_U_Drive_Y6,R7_U_Drive_Y5,R7_U_Drive_Y4,R7_U_Drive_Y3,R7_U_Drive_Y2,R7_U_Drive_Y1,R4_U_Drive_X10,R4_U_Drive_X9,R4_U_Drive_X8,R4_U_Drive_X7,R4_U_Drive_X6,R4_U_Drive_X5,R4_U_Drive_X4,R4_U_Drive_X3,R4_U_Drive_X2,R4_U_Drive_X1,R1_U_Drive_X10,R1_U_Drive_X9,R1_U_Drive_X8,R1_U_Drive_X7,R1_U_Drive_X6,R1_U_Drive_X5,R1_U_Drive_X4,R1_U_Drive_X3,R1_U_Drive_X2,R1_U_Drive_X1","R 0603","R","2","44"
"10k","贴片电阻","R5_U_Drive_Y10,R5_U_Drive_Y9,R5_U_Drive_Y8,R5_U_Drive_Y7,R5_U_Drive_Y6,R5_U_Drive_Y5,R5_U_Drive_Y4,R5_U_Drive_Y3,R5_U_Drive_Y2,R5_U_Drive_Y1","R 0603","R","2","10"
"10uF/35V","贴片电解电容","E3,E4","CM B(4*5.4)","C-CM","2","2"
"120Ω","贴片电阻","R15","0603_R","0603 120Ω (1200) 1%","2","1"
"15K","贴片电阻","R17,R2_U_Drive_X10,R2_U_Drive_X9,R2_U_Drive_X8,R2_U_Drive_X7,R2_U_Drive_X6,R2_U_Drive_X5,R2_U_Drive_X4,R2_U_Drive_X3,R2_U_Drive_X2,R2_U_Drive_X1","R 0603","R","2","11"
"1K","贴片电阻","R23,R22,R20,R6_U_Drive_Y10,R6_U_Drive_Y9,R6_U_Drive_Y8,R6_U_Drive_Y7,R6_U_Drive_Y6,R6_U_Drive_Y5,R6_U_Drive_Y4,R6_U_Drive_Y3,R6_U_Drive_Y2,R6_U_Drive_Y1,R3_U_Drive_X10,R3_U_Drive_X9,R3_U_Drive_X8,R3_U_Drive_X7,R3_U_Drive_X6,R3_U_Drive_X5,R3_U_Drive_X4,R3_U_Drive_X3,R3_U_Drive_X2,R3_U_Drive_X1","R 0603","R","2","23"
"20pF","无极性贴片电容","C14,C5","C 0603","C","2","2"
