"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R25","R 0603","32.36mm","-77.622mm","32.36mm","-77.622mm","33.287mm","-77.622mm","T","180","0R"
"C3","C 0603","43.409mm","-73.114mm","43.409mm","-73.101mm","43.409mm","-73.99mm","T","90","104"
"R24","R 0603","36.716mm","-69.847mm","36.716mm","-69.847mm","37.643mm","-69.847mm","T","180","10K"
"R23","R 0603","36.716mm","-71.679mm","36.716mm","-71.679mm","37.643mm","-71.679mm","T","180","1K"
"R17","R 0603","32.626mm","-71.704mm","32.626mm","-71.704mm","31.699mm","-71.704mm","T","360","15K"
"R14","R 0603","32.626mm","-69.847mm","32.626mm","-69.847mm","31.699mm","-69.847mm","T","360","10K"
"Q9","SOT-23","37.626mm","-74.668mm","37.414mm","-74.735mm","","","T","90","S8050"
"Q8","SOT23","32.106mm","-74.676mm","31.268mm","-73.726mm","","","T","270","CJ2307"
"R8","R 0603","46.33mm","-77.953mm","46.33mm","-77.953mm","45.403mm","-77.953mm","T","360","4.7K"
"Q7","SOT-23","46.372mm","-73.541mm","46.304mm","-73.33mm","","","T","360","S8050"
"JP11","HDR-1X2","33.934mm","-60.096mm","33.934mm","-58.826mm","33.934mm","-58.826mm","T","270","HDR-1X2"
"JP9","XH2.54-4P","43.413mm","-83.82mm","39.603mm","-83.82mm","39.603mm","-83.82mm","T","360","HDR-1X4"
"F1","5.08mm","5.141mm","-22.225mm","7.681mm","-22.225mm","7.681mm","-22.225mm","T","180","TRB300"
"U1","LC-LQFP-64_10x10x05P","59.563mm","-60.706mm","59.563mm","-60.706mm","55.813mm","-66.256mm","T","360","SWM181RCT6-50"
"F3","FU 1206","93.175mm","-82.754mm","93.175mm","-82.754mm","94.89mm","-82.754mm","T","180","TLC-NSMD005"
"F2","FU 1206","93.175mm","-85.725mm","93.175mm","-85.725mm","94.89mm","-85.725mm","T","180","TLC-NSMD005"
"R19","R 0603","48.384mm","-65.253mm","48.384mm","-65.253mm","48.384mm","-66.18mm","T","90","4.7K"
"JP10","XH2.54-4P","39.446mm","-58.318mm","39.446mm","-62.128mm","39.446mm","-62.128mm","T","90","XH-2.54-4P"
"U5","SOIC-8_150mil","54.725mm","-74.1mm","54.725mm","-74.1mm","52.125mm","-72.195mm","T","270","YD3082E"
"D9","LC-SMA(DO-214AC)_S1","9.006mm","-31.489mm","9.006mm","-31.489mm","6.906mm","-31.489mm","T","180","SMBJ30CA"
"D2","LC-SMA(DO-214AC)_S1","4.684mm","-26.616mm","4.684mm","-26.616mm","6.784mm","-26.616mm","T","360","SMBJ30CA"
"D6","SMA(DO-214AC)_S1","99.973mm","-81.632mm","99.973mm","-81.632mm","102.073mm","-81.632mm","T","360","SMAJ6.5CA"
"JP7","XH2.54-8P","78.482mm","-83.774mm","69.592mm","-83.774mm","69.592mm","-83.774mm","T","360","XH-2.54-8P"
"JP5","XH2.54-11P","125.368mm","-64.257mm","125.368mm","-54.097mm","125.368mm","-76.957mm","T","90","XH2.54-11P"
"X1","XTAL-49S SMD","82.874mm","-61.646mm","82.874mm","-61.646mm","87.624mm","-61.646mm","T","180","24MHz"
"C14","C 0603","73.945mm","-62.34mm","73.945mm","-62.353mm","73.945mm","-61.464mm","T","270","20pF"
"C5","C 0603","91.408mm","-64.86mm","91.408mm","-64.847mm","91.408mm","-65.736mm","T","90","20pF"
"E6","CM E(8*10.2)","7.823mm","-42.664mm","7.823mm","-42.664mm","3.823mm","-42.664mm","T","180","220uF/35V"
"C4","C 0603","12.3mm","-59.597mm","12.287mm","-59.597mm","13.176mm","-59.597mm","T","180","104"
"E5","CM C(5*5.4)","27.203mm","-66.376mm","27.203mm","-66.376mm","29.853mm","-66.376mm","T","360","47uF/6.3V"
"Q6","LC-SOT-89(SOT-89-3)","25.852mm","-75.696mm","26.502mm","-75.696mm","26.502mm","-77.196mm","T","360","CJA03N10"
"D3","SMA(DO-214AC)_S1","20.048mm","-75.021mm","20.048mm","-75.021mm","20.048mm","-72.921mm","T","90","SS34"
"R12","R 0603","56.523mm","-78.059mm","56.523mm","-78.059mm","57.45mm","-78.059mm","T","180","4.7K"
"R16","R 0603","53.065mm","-78.081mm","53.065mm","-78.081mm","52.138mm","-78.081mm","T","360","4.7K"
"D8","SMA(DO-214AC)_S1","67.123mm","-75.692mm","67.123mm","-75.692mm","67.123mm","-73.592mm","T","90","SMAJ6.5CA"
"D10","SMA(DO-214AC)_S1","63.599mm","-75.724mm","63.599mm","-75.724mm","63.599mm","-73.624mm","T","90","SMAJ6.5CA"
"C2","C 0603","91.186mm","-79.616mm","91.186mm","-79.629mm","91.186mm","-78.74mm","T","270","104"
"E3","CM B(4*5.4)","5.825mm","-77.029mm","5.825mm","-77.029mm","7.975mm","-77.029mm","T","360","10uF/35V"
"JP6","HDR-1X4","71.12mm","-74.433mm","71.12mm","-70.623mm","71.12mm","-70.623mm","T","270","HDR-1X4"
"Q5_U_SIG_IN10","SOT-23","112.052mm","-53.219mm","112.12mm","-53.431mm","","","T","180","S8050"
"Q5_U_SIG_IN9","SOT-23","102.146mm","-55.171mm","102.214mm","-55.383mm","","","T","180","S8050"
